city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1bdfffff,3.35746e6,1.74851e6,-1.60895e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89af09fffff,3.309464e6,1.724684e6,-1.58478e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1b5fffff,3.357121e6,1.891267e6,-1.465854e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89af49fffff,3.357121e6,1.898949e6,-1.458172e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1a3fffff,3.357121e6,1.903011e6,-1.45411e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89af39fffff,2.654197e6,1.216038e6,-1.438159e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,881f89ae69fffff,2.621612e6,1.251026e6,-1.370586e6
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,881f89a8ddfffff,277620.0,459310.0,181690.0
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,881f89a8d1fffff,299072.0,473804.0,174732.0
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,881f89a8d9fffff,311290.0,477811.0,166521.0
