"start_lat","start_lon","finish_lat","finish_lon","speed","count"
51.933,16.374,51.961,16.335,62.97363300927898,23
50.011,22.677,50.067,22.503,104.99096696993642,5
51.548,-0.193,51.751,-0.328,112.43977851897195,174
56.699,8.207,56.704,8.215,46.71550340511118,20
25.412,82.018,25.431,81.916,77.00932738914211,8
25.786,84.747,25.847,84.76,46.14456957233469,6
49.738,15.104,49.739,15.129,26.860131209115085,27
45.024,25.937,45.046,25.951,39.65349042660463,18
51.857,0.956,51.901,0.892,56.39969922827677,1
48.09,11.832,48.099,11.787,106.16145929791932,16
51.818,8.987,51.844,8.971,62.48678110048393,91
26.349,89.338,26.353,89.47,87.57911381928716,4
32.793,35.033,32.822,34.997,40.05615487197461,38
52.262,6.793,52.299,6.748,60.938318013789555,54
51.454,-0.103,51.493,-0.145,35.14982496301236,4
44.713,25.557,44.737,25.569,55.43782874424351,25
51.268,-1.088,51.459,-0.973,85.01918019833381,10
50.31,4.132,50.313,4.158,112.84162062797085,61
39.675,15.824,39.738,15.821,104.54907690275881,20
48.694,12.202,48.837,12.183,79.7818019918132,2
23.174,72.816,23.351,72.948,128.84746539859418,4
49.986,4.693,50.012,4.705,59.55195481195837,78
43.769,11.309,43.777,11.277,82.76434370085649,59
52.259,4.646,52.293,4.698,78.24374986048959,314
47.195,7.429,47.201,7.457,68.29952026501186,564
50.793,14.23,50.816,14.222,40.02966626400852,16
41.769,12.656,41.779,12.635,21.08638983041579,46
46.835,13.404,46.852,13.367,67.84654830905139,2
48.678,8.727,48.715,8.742,83.65286168446502,72
29.43,76.206,29.466,76.179,47.50810218751323,1
46.742,13.192,46.753,13.26,80.65667091618224,1
48.709,2.461,48.73,2.446,59.006469570754184,654
20.513,72.924,20.609,72.934,52.90171615374711,4
50.049,19.957,50.058,19.948,52.99215218442763,83
18.781,78.311,18.855,78.638,92.10563840601421,2
48.892,11.17,48.893,11.18,14.914248334449958,54
49.615,11.802,49.627,11.903,89.3491647135739,42
52.081,4.324,52.166,4.481,85.84671609622553,128
16.439,80.056,16.47,80.006,94.1678402775579,4
49.587,20.743,49.599,20.723,49.86546852073948,4
47.655,7.565,47.661,7.542,56.10531374525547,27
52.242,7.953,52.273,8.061,97.9748267336449,29
-31.951,115.86,-31.945,115.846,46.11235732342831,365
47.358,16.898,47.375,16.929,59.97834351266859,16
52.534,13.197,52.97,10.553,79.85179262567654,1
